ID,Name,Description,Category ID,Category Name,Price,Available,Image URL,Popular,Preparation Time,Name EN,Name AZ,Name RU,Name TR,Name AR,Name HI,Name FR,Name IT,Description EN,Description AZ,Description RU,Description TR,Description AR,Description HI,Description FR,Description IT,Created At,Updated At
cat-8-burger-roll-7-burger-inn,Burger Inn ,,cat-8-burger-roll,Burger Roll,22.5,1,/spinner.svg,0,15,Burger Inn ,Burger Inn,Бургер Инн,Burger Inn,برجر إن,बर्गर इन,Burger Inn,Burger Inn,"Pizza Inn special triple-layer sandwich with beef, lettuce, and tomato","Pizza Inn mal əti, kahı və pomidor ilə xüsusi üç qatlı sendviç","Фирменный трехслойный сэндвич Pizza Inn с говядиной, салатом и помидорами","Pizza Inn'in özel üç katlı sandviçi dana eti, marul ve domatesle",ساندويتش بيتزا إن الخاص المكون من ثلاث طبقات مع لحم البقر والخس والطماطم,"पिज़्ज़ा इन का विशेष ट्रिपल-लेयर सैंडविच जिसमें बीफ, लेट्यूस और टमाटर शामिल हैं","Sandwich spécial à trois couches de Pizza Inn avec bœuf, laitue et tomate","Panino speciale a triplo strato di Pizza Inn con manzo, lattuga e pomodoro",2025-05-08 14:33:57,2025-05-08 14:33:57
cat-8-burger-roll-2-club-sendvi--,Club Sandwich ,,cat-8-burger-roll,Burger Roll,16,1,/spinner.svg,0,15,Club Sandwich ,Club Sendviç,Клаб-сэндвич,Kulüp sandviç,ساندويتش كلوب,क्लब सैंडविच ,Club Sandwich,Panino Club,"Classic triple-layer sandwich with beef, lettuce, and tomato","Mal əti, kahı və pomidor ilə klassik üç qatlı sendviç","Классический трехслойный сэндвич с говядиной, салатом и помидорами","Sığır eti, marul ve domatesle hazırlanan klasik üç katlı sandviç",ساندويتش كلاسيكي ثلاثي الطبقات مع لحم البقر والخس والطماطم,"गोमांस, सलाद पत्ता और टमाटर के साथ क्लासिक ट्रिपल-लेयर सैंडविच","Sandwich classique à trois couches avec bœuf, laitue et tomate","Classico panino a triplo strato con manzo, lattuga e pomodoro",2025-05-08 14:33:57,2025-05-08 14:33:57
cat-8-burger-roll-4-hamburger,Hamburger ,,cat-8-burger-roll,Burger Roll,19.9,1,/spinner.svg,0,15,Hamburger ,Hamburger,гамбургер,Hamburger,هامبرغر,हैमबर्गर,Hamburger,Hamburger,"Juicy beef patty with fresh lettuce, tomato, and onion","Təzə kahı, pomidor və soğan ilə şirəli mal əti köftesi","Сочная говяжья котлета со свежим салатом, помидорами и луком","Taze marul, domates ve soğanla sulu dana köftesi",فطيرة لحم بقري طرية مع خس طازج وطماطم وبصل,"ताजा सलाद, टमाटर और प्याज के साथ रसदार बीफ पैटी","Galette de bœuf juteuse avec laitue fraîche, tomate et oignon","Succoso hamburger di manzo con lattuga fresca, pomodoro e cipolla",2025-05-08 14:33:57,2025-05-08 14:33:57
cat-8-burger-roll-6-kesadi-lya,Quesadilla ,,cat-8-burger-roll,Burger Roll,19.9,1,/spinner.svg,0,15,Quesadilla ,Kesadilya,Кесадилья ,Quesadilla ,كيساديا,केसाडिला ,Quesadilla,Quesadilla ,Grilled tortilla filled with melted cheese and spices,Ərinmiş pendir və ədviyyatlarla doldurulmuş ızgara tortilla,"Жареная тортилья, наполненная плавленым сыром и специями",Eritilmiş peynir ve baharatlarla doldurulmuş ızgara tortilla,تورتيلا مشوية محشوة بالجبن الذائب والتوابل,पिघले हुए पनीर और मसालों से भरा ग्रिल्ड टॉर्टिला,Tortilla grillée farcie de fromage fondu et d'épices,Tortilla grigliata ripiena di formaggio fuso e spezie,2025-05-08 14:33:57,2025-05-08 14:33:57
cat-8-burger-roll-1-toyuq-burger,Chicken Burger ,,cat-8-burger-roll,Burger Roll,14.5,1,/spinner.svg,0,15,Chicken Burger ,Toyuq Burger,Куриный бургер,Tavuk Burger,برجر دجاج,चिकन बर्गर,Burger au poulet,Hamburger di pollo,Tender grilled chicken breast with crisp vegetables,Xırtıldayan tərəvəz ilə qızardılmış toyuq göğsü,Нежная куриная грудка на гриле с хрустящими овощами,Kıtır sebzelerle yumuşak ızgara tavuk göğsü,صدر دجاج مشوي طري مع خضراوات مقرمشة,कुरकुरी सब्जियों के साथ नरम ग्रिल्ड चिकन ब्रेस्ट,Tendre poitrine de poulet grillée avec légumes croquants,Tenero petto di pollo alla griglia con verdure croccanti,2025-05-08 14:33:57,2025-05-08 14:33:57
cat-8-burger-roll-3--i-zburger,Cheeseburger ,,cat-8-burger-roll,Burger Roll,21,1,/spinner.svg,0,15,Cheeseburger ,Çizburger,Чизбургер,Peynirli hamburger,تشيز برجر,चीज़बर्गर,Cheeseburger,Cheeseburger,Beef burger topped with melted cheese and classic fixings,Ərinmiş pendir və klassik fiksasiya ilə doldurulmuş mal əti burger,"Бургер с говядиной, плавленым сыром и классическими заправками",Eritilmiş peynir ve klasik malzemelerle tepesinde dana burger,برجر لحم بقري مغطى بالجبن الذائب والإضافات الكلاسيكية,पिघले हुए पनीर और क्लासिक सामग्री से सजा हुआ बीफ बर्गर,Burger de bœuf garni de fromage fondu et de garnitures classiques,Hamburger di manzo con formaggio fuso e contorni classici,2025-05-08 14:33:57,2025-05-08 14:33:57
cat-8-burger-roll-5---l--burger,Triple Burger ,,cat-8-burger-roll,Burger Roll,23,1,/spinner.svg,0,15,Triple Burger ,Üçlü Burger,Тройной бургер,Üçlü Burger,برجر ثلاثي,ट्रिपल बर्गर,Triple Burger,Triplo hamburger,Three beef patties stacked high with cheese and toppings,Üç mal əti köftesi pendir və əlavələrlə üst-üstə yığılmışdır,"Три говяжьи котлеты, сложенные высоко с сыром и начинкой","Üç dana köftesi, peynir ve çeşitli malzemelerle üst üste dizilmiş",ثلاث فطائر لحم بقري مليئة بالجبن والإضافات,तीन बीफ पैटीज को पनीर और टॉपिंग के साथ ऊपर से रखा गया,Trois galettes de bœuf garnies de fromage et de garnitures,Tre hamburger di manzo ricoperti di formaggio e condimenti,2025-05-08 14:33:57,2025-05-08 14:33:57
cat-7-desert-9-balli-tort,Honey Cake ,,cat-7-desert,Dessert,10,1,/spinner.svg,0,15,Honey Cake ,Ballı Tort,Медовый торт,Ballı kek,كعكة العسل,शहद केक ,Gâteau au miel,Torta al miele,Moist layered cake sweetened with natural honey,Təbii bal ilə şirinləşdirilmiş nəm qatlı tort,"Влажный многослойный пирог, подслащенный натуральным медом",Doğal balla tatlandırılmış nemli katmanlı kek,كعكة رطبة متعددة الطبقات محلاة بالعسل الطبيعي,प्राकृतिक शहद से मीठा किया गया नमीयुक्त स्तरित केक,Gâteau moelleux en couches sucré au miel naturel,Torta umida a strati addolcita con miele naturale,2025-05-08 14:33:57,2025-05-08 14:33:57
cat-7-desert-5-dondurma,Ice Cream ,,cat-7-desert,Dessert,8,1,/spinner.svg,0,15,Ice Cream ,Dondurma,Мороженое ,Dondurma,بوظة ,आइसक्रीम ,Glace ,Gelato,Creamy frozen dessert in various flavors,Müxtəlif dadlarda kremli dondurulmuş desert,Сливочный замороженный десерт с разными вкусами,Çeşitli tatlarda kremalı dondurulmuş tatlı,حلوى مجمدة كريمية بنكهات مختلفة,विभिन्न स्वादों में मलाईदार जमे हुए मिठाई,Dessert glacé crémeux aux saveurs variées,Dessert congelato cremoso in vari gusti,2025-05-08 14:33:57,2025-05-08 14:33:57
cat-7-desert-15-havuc-di-li-m,Carrot Slices ,,cat-7-desert,Dessert,10,1,/spinner.svg,0,15,Carrot Slices ,Havuç Dilim,Морковные ломтики,Havuç dilimleri,شرائح الجزر,गाजर के टुकड़े,tranches de carottes,fette di carota,Fresh carrot sticks served as a healthy treat,Təzə yerkökü çubuqları sağlam bir müalicə kimi xidmət etdi,Свежие морковные палочки подаются как полезное угощение,Sağlıklı bir ikram olarak servis edilen taze havuç çubukları,أعواد الجزر الطازجة تقدم كوجبة صحية,ताजा गाजर की छड़ें एक स्वस्थ उपचार के रूप में परोसा जाता है,Bâtonnets de carottes fraîches servis comme une friandise saine,Bastoncini di carota freschi serviti come una sana sorpresa,2025-05-08 14:33:57,2025-05-08 14:33:57
cat-7-desert-2-karamelli--tort,Caramel Cake ,,cat-7-desert,Dessert,10,1,/spinner.svg,0,15,Caramel Cake ,Karamelli Tort,Карамельный торт,Karamelli Kek,كعكة الكراميل,कारमेल केक,Gâteau au caramel,Torta al caramello,Rich sponge cake with smooth caramel glaze,Hamar karamel şirəsi ilə zəngin süngər tortu,Богатый бисквит с нежной карамельной глазурью,Pürüzsüz karamel soslu zengin sünger kek,كعكة إسفنجية غنية مع طبقة كراميل ناعمة,चिकनी कारमेल ग्लेज़ के साथ समृद्ध स्पंज केक,Gâteau éponge riche avec glaçage au caramel onctueux,Ricca torta spugnosa con glassa al caramello liscia,2025-05-08 14:33:57,2025-05-08 14:33:57
cat-7-desert-14-k-nefe,Künefe ,,cat-7-desert,Dessert,10,1,/spinner.svg,0,15,Künefe ,Künefe,Кюнефе,Künefe,الكنافة,कुनेफे,Künefe,Künefe,Traditional Turkish dessert with cheese and crispy pastry,Pendir və xırtıldayan pasta ilə ənənəvi türk deserti,Традиционный турецкий десерт с сыром и хрустящим тестом,Peynirli ve çıtır hamurlu geleneksel Türk tatlısı,حلوى تركية تقليدية مع الجبن والمعجنات المقرمشة,पनीर और कुरकुरी पेस्ट्री के साथ पारंपरिक तुर्की मिठाई,Dessert traditionnel turc au fromage et à la pâte croustillante,Dolce tradizionale turco con formaggio e pasta croccante,2025-05-08 14:33:57,2025-05-08 14:33:57
cat-7-desert-6-mara--dondurma,Maraş Ice Cream ,,cat-7-desert,Dessert,8.5,1,/spinner.svg,0,15,Maraş Ice Cream ,Maraş Dondurma,Мороженое Мараш,Maraş Dondurması,آيس كريم ماراش,मारस आइसक्रीम,Glace Maraş,Gelato Maraş,Authentic Turkish ice cream with unique stretchy texture,Unikal uzanan teksturaya malik orijinal türk dondurması,Настоящее турецкое мороженое с уникальной эластичной текстурой,Benzersiz esnek dokusuyla gerçek Türk dondurması,آيس كريم تركي أصيل ذو ملمس مطاطي فريد,अद्वितीय खिंचावदार बनावट के साथ प्रामाणिक तुर्की आइसक्रीम,Glace turque authentique avec une texture extensible unique,Autentico gelato turco dalla consistenza elastica unica,2025-05-08 14:33:57,2025-05-08 14:33:57
cat-7-desert-1-qari-iq-meyv-,Mixed Fruit ,,cat-7-desert,Dessert,18,1,/spinner.svg,0,15,Mixed Fruit ,Qarışıq Meyvə,Фруктовый микс,Karışık Meyve,فواكه مشكلة,मिश्रित फल,Fruits mélangés,Frutta mista,Fresh seasonal fruits beautifully arranged,Təzə mövsüm meyvələri gözəl tərtib edilmişdir,"Свежие сезонные фрукты, красиво оформленные",Taze mevsim meyveleri güzelce düzenlenmiş,فواكه موسمية طازجة مرتبة بشكل جميل,ताजे मौसमी फल खूबसूरती से व्यवस्थित,Fruits frais de saison joliment disposés,Frutta fresca di stagione splendidamente disposta,2025-05-08 14:33:57,2025-05-08 14:33:57
cat-7-desert-10-san-sebastyan,San Sebastian ,,cat-7-desert,Dessert,12,1,/spinner.svg,0,15,San Sebastian ,San Sebastian,Сан-Себастьян,San Sebastian,سان سيباستيان,सैन सेबेस्टियन,Saint-Sébastien,San Sebastian,Basque-style cheesecake with caramelized top,Karamelize edilmiş üstü ilə bask üslublu cheesecake,Чизкейк по-баскски с карамелизированной корочкой,Karamelize üstlü Bask tarzı cheesecake,تشيز كيك على الطريقة الباسكية مع طبقة من الكراميل,कारमेलाइज्ड टॉप के साथ बास्क-स्टाइल चीज़केक,Gâteau au fromage basque avec dessus caramélisé,Cheesecake in stile basco con superficie caramellata,2025-05-08 14:33:57,2025-05-08 14:33:57
cat-7-desert-12-s-dl--paxlava,Milk Baklava ,,cat-7-desert,Dessert,10,1,/spinner.svg,0,15,Milk Baklava ,Südlü Paxlava,Пахлава молочная,Sütlü Baklava,بقلاوة الحليب,दूध बकलावा,Baklava au lait,Baklava al latte,Layered pastry with milk custard and nuts,Süd kreması və qoz-fındıq ilə qatlanmış xəmir,Слоеное тесто с молочным заварным кремом и орехами,Sütlü muhallebi ve fındıklı katlı börek,معجنات متعددة الطبقات مع كريمة الحليب والمكسرات,दूध कस्टर्ड और नट्स के साथ स्तरित पेस्ट्री,Pâtisserie feuilletée à la crème anglaise et aux noix,Pasta sfoglia con crema al latte e noci,2025-05-08 14:33:57,2025-05-08 14:33:57
cat-7-desert-11-s-tlac,Rice Pudding ,,cat-7-desert,Dessert,7.9,1,/spinner.svg,0,15,Rice Pudding ,Sütlac,Рисовый пудинг,Sütlaç,بودنغ الأرز,खीर ,Riz au lait,Budino di riso,Creamy Turkish rice dessert with cinnamon,Darçınlı qaymaqlı türk düyü deserti,Сливочный турецкий рисовый десерт с корицей,Tarçınlı kremalı Türk pilavı tatlısı,حلوى الأرز التركية الكريمية مع القرفة,दालचीनी के साथ मलाईदार तुर्की चावल मिठाई,Dessert de riz turc crémeux à la cannelle,Dessert turco cremoso di riso con cannella,2025-05-08 14:33:57,2025-05-08 14:33:57
cat-7-desert-3-trali--e,Trifle ,,cat-7-desert,Dessert,9.5,1,/spinner.svg,0,15,Trifle ,Traliçe,Пустячок,Önemsiz şey,تافه,तिपहिया,Bagatelle,Sciocchezza,"Layered dessert with cake, cream, and fresh fruit","Tort, qaymaq və təzə meyvə ilə qatlanmış desert","Многослойный десерт с бисквитом, кремом и свежими фруктами","Kek, krema ve taze meyvelerden oluşan katmanlı tatlı",حلوى متعددة الطبقات مع الكعكة والكريمة والفواكه الطازجة,"केक, क्रीम और ताजे फल के साथ स्तरित मिठाई","Dessert étagé avec gâteau, crème et fruits frais","Dessert a strati con torta, panna e frutta fresca",2025-05-08 14:33:57,2025-05-08 14:33:57
cat-7-desert-13-t-rk-paxlavasi,Turkish Baklava ,,cat-7-desert,Dessert,10,1,/spinner.svg,0,15,Turkish Baklava ,Türk Paxlavası,Турецкая пахлава,Türk Baklavası,البقلاوة التركية,तुर्की बकलावा,Baklava turc,Baklava turca,Flaky phyllo pastry with nuts and honey syrup,Qoz-fındıq və bal siropu ilə xırda xəmir,Слоеное тесто фило с орехами и медовым сиропом,Fındık ve bal şuruplu yufka böreği,عجينة الفيلو المتقشرة مع المكسرات وشراب العسل,मेवे और शहद सिरप के साथ परतदार फाइलो पेस्ट्री,Pâte phyllo feuilletée aux noix et au sirop de miel,Pasta fillo sfogliata con noci e sciroppo di miele,2025-05-08 14:33:57,2025-05-08 14:33:57
cat-7-desert-7-ti-rami-su,Tiramisu ,,cat-7-desert,Dessert,12,1,/spinner.svg,0,15,Tiramisu ,Tiramisu,Тирамису,Tiramisu,تيراميسو,तिरामिसू,Tiramisu,Tiramisù,Italian coffee-flavored dessert with mascarpone,Mascarpone ilə İtalyan qəhvəsi ətirli desert,Итальянский кофейный десерт с маскарпоне,Mascarpone peynirli İtalyan kahve aromalı tatlı,حلوى إيطالية بنكهة القهوة مع جبنة الماسكاربوني,मस्करपोन के साथ इतालवी कॉफी-स्वाद वाली मिठाई,Dessert italien au café et au mascarpone,Dessert italiano al gusto di caffè con mascarpone,2025-05-08 14:33:57,2025-05-08 14:33:57
cat-7-desert-8--i-y-l-kli---i-zkeyk,Strawberry Cheesecake ,,cat-7-desert,Dessert,11,1,/spinner.svg,0,15,Strawberry Cheesecake ,Çiyələkli Çizkeyк,Клубничный чизкейк,Çilekli Cheesecake,تشيز كيك الفراولة,स्ट्रॉबेरी चीजकेक ,Gâteau au fromage aux fraises,Cheesecake alle fragole,Rich cheesecake topped with fresh strawberries,Təzə çiyələk ilə zəngin cheesecake,Насыщенный чизкейк со свежей клубникой,Taze çileklerle kaplı zengin cheesecake,كعكة الجبن الغنية مغطاة بالفراولة الطازجة,ताज़ा स्ट्रॉबेरी से सजा स्वादिष्ट चीज़केक,Gâteau au fromage riche garni de fraises fraîches,Cheesecake ricca guarnita con fragole fresche,2025-05-08 14:33:57,2025-05-08 14:33:57
cat-7-desert-4--okoladli--i-zkeyk,Chocolate Cheesecake ,,cat-7-desert,Dessert,11,1,/spinner.svg,0,15,Chocolate Cheesecake ,Şokoladlı Çizkeyк,Шоколадный чизкейк,çikolatalı cheesecake,تشيز كيك الشوكولاتة,चॉकलेट चीज़केक,Gâteau au fromage au chocolat,Cheesecake al cioccolato,Decadent chocolate-flavored cheesecake,Dekadent şokolad ətirli cheesecake,Декадентский чизкейк со вкусом шоколада,Çökmekte olan çikolata aromalı cheesecake,تشيز كيك بنكهة الشوكولاتة الفاخرة,स्वादिष्ट चॉकलेट-स्वाद वाला चीज़केक,Cheesecake décadent au chocolat,Cheesecake decadente al gusto di cioccolato,2025-05-08 14:33:57,2025-05-08 14:33:57
cat-15-d-ni-z-m-hsullari--5-grilled-salmon-with-asian-sause,Grilled Salmon With Asian Sauce ,,cat-15-d-ni-z-m-hsullari-,Seafood,29,1,/spinner.svg,0,15,Grilled Salmon With Asian Sauce ,Asiya Souslu Qızardılmış Qızılbalıq,Лосось на гриле с азиатским соусом,Asya Soslu Izgara Somon,سمك السلمون المشوي مع صلصة آسيوية,एशियाई सॉस के साथ ग्रिल्ड सैल्मन,Saumon grillé à la sauce asiatique,Salmone alla griglia con salsa asiatica,Fresh salmon with savory Asian glaze,Dadlı Asiya şirəsi ilə təzə qızılbalıq,Свежий лосось с пикантной азиатской глазурью,Lezzetli Asya sosuyla taze somon,سمك السلمون الطازج مع صلصة آسيوية لذيذة,स्वादिष्ट एशियाई ग्लेज़ के साथ ताज़ा सामन,Saumon frais avec glaçage asiatique savoureux,Salmone fresco con glassa asiatica saporita,2025-05-08 14:33:57,2025-05-08 14:33:57
cat-15-d-ni-z-m-hsullari--8-k-r--ya-inda-krevetka,Prawns In Butter ,,cat-15-d-ni-z-m-hsullari-,Seafood,24,1,/spinner.svg,0,15,Prawns In Butter ,Kərə Yağında Krevetka,Креветки в масле,Tereyağında Karides,روبيان بالزبدة,मक्खन में झींगा,Crevettes au beurre,Gamberi al burro,Succulent prawns sautéed in garlic butter,Sarımsaqlı yağda qızardılmış şirəli karideslər,"Сочные креветки, обжаренные в чесночном масле",Sarımsaklı tereyağında sotelenmiş sulu karidesler,روبيان شهي مقلي في زبدة الثوم,लहसुन मक्खन में तले हुए रसीले झींगे,Crevettes succulentes sautées au beurre à l'ail,Gamberi succulenti saltati in burro all'aglio,2025-05-08 14:33:57,2025-05-08 14:33:57
cat-15-d-ni-z-m-hsullari--7-nar-souslu-n-r--bali-i,Pomegranate Sauce Grouper ,,cat-15-d-ni-z-m-hsullari-,Seafood,39,1,/spinner.svg,0,15,Pomegranate Sauce Grouper ,Nar Souslu Nərə Balığı,Гранатовый соус для окуня,Nar Soslu Lagos,سمك الهامور بصلصة الرمان,अनार सॉस ग्रूपर,Mérou à la sauce grenade,Cernia in salsa di melograno,Grilled grouper with tangy pomegranate reduction,Qızardılmış nar reduktoru,Жареный окунь с пикантным гранатовым соусом,Izgara lagos ve ekşi nar sosu,سمك الهامور المشوي مع صلصة الرمان اللاذعة,तीखे अनार के साथ ग्रिल्ड ग्रूपर,Mérou grillé avec réduction acidulée de grenade,Cernia alla griglia con riduzione di melograno piccante,2025-05-08 14:33:57,2025-05-08 14:33:57
cat-15-d-ni-z-m-hsullari--4-n-r--bali-i,Grouper Fish ,,cat-15-d-ni-z-m-hsullari-,Seafood,38,1,/spinner.svg,0,15,Grouper Fish ,Nərə Balığı,Рыба-групер,Lagos Balığı,سمك الهامور,ग्रुपर फिश ,Poisson mérou,Cernia,Fresh grouper prepared with Mediterranean herbs,Aralıq dənizi otları ilə hazırlanmış təzə orfoz,"Свежий окунь, приготовленный со средиземноморскими травами",Akdeniz otlarıyla hazırlanmış taze lagos,سمك الهامور الطازج المحضر بالأعشاب المتوسطية,भूमध्यसागरीय जड़ी-बूटियों से तैयार ताजा ग्रूपर,Mérou frais préparé aux herbes méditerranéennes,Cernia fresca preparata con erbe mediterranee,2025-05-08 14:33:57,2025-05-08 14:33:57
cat-15-d-ni-z-m-hsullari--1-qizilbaliq-qri-ld-,Grilled Trout ,,cat-15-d-ni-z-m-hsullari-,Seafood,28,1,/spinner.svg,0,15,Grilled Trout ,Qızardılmış Qızılbalıq,Форель на гриле,Izgara alabalık,سمك السلمون المرقط المشوي,ग्रिल्ड ट्राउट,Truite grillée,Trota alla griglia,Whole trout grilled with lemon and herbs,Limon və göyərti ilə qızardılmış bütün alabalıq,"Целая форель, приготовленная на гриле с лимоном и травами",Limon ve otlarla ızgara edilmiş bütün alabalık,سمك السلمون المرقط كامل مشوي مع الليمون والأعشاب,नींबू और जड़ी-बूटियों के साथ ग्रिल्ड पूरा ट्राउट,Truite entière grillée au citron et aux herbes,Trota intera alla griglia con limone ed erbe aromatiche,2025-05-08 14:33:57,2025-05-08 14:33:57
cat-15-d-ni-z-m-hsullari--9-si-bas-qovurma,Sea Bass Stir-Fry ,,cat-15-d-ni-z-m-hsullari-,Seafood,27,1,/spinner.svg,0,15,Sea Bass Stir-Fry ,Sibas Qovurma,Жареный морской окунь,Levrek Kızartma,سمك القاروص المقلي,सी बास स्टिर-फ्राई,Bar sauté,Branzino saltato in padella,Fresh sea bass with mixed vegetables,Qarışıq tərəvəz ilə təzə dəniz levrek,Свежий морской окунь с овощным ассорти,Karışık sebzelerle taze levrek,سمك القاروص الطازج مع الخضار المختلطة,मिश्रित सब्जियों के साथ ताजा समुद्री बास,Bar frais aux légumes variés,Branzino fresco con verdure miste,2025-05-08 14:33:57,2025-05-08 14:33:57
cat-15-d-ni-z-m-hsullari--2-tavada-farel,Pan-Fried Trout ,,cat-15-d-ni-z-m-hsullari-,Seafood,25,1,/spinner.svg,0,15,Pan-Fried Trout ,Tavada Farel,Жареная форель,Tavada kızartılmış alabalık,سمك السلمون المرقط المقلي,पैन-फ्राइड ट्राउट,Truite poêlée,Trota in padella,Crispy trout with golden crust,Qızıl qabıqlı xırtıldayan alabalıq,Хрустящая форель с золотистой корочкой,Altın kabuklu çıtır alabalık,سمك السلمون المرقط المقرمش بقشرة ذهبية,सुनहरे क्रस्ट के साथ कुरकुरा ट्राउट,Truite croustillante à la croûte dorée,Trota croccante con crosta dorata,2025-05-08 14:33:57,2025-05-08 14:33:57
cat-15-d-ni-z-m-hsullari--3--upra-qri-ld-,Grilled Sea Bream ,,cat-15-d-ni-z-m-hsullari-,Seafood,29,1,/spinner.svg,0,15,Grilled Sea Bream ,Qızardılmış Çupra,Жареный морской лещ,Izgara Çipura,الدنيس المشوي,ग्रिल्ड सी ब्रीम,Dorade grillée,Orata alla griglia,Mediterranean-style grilled fish,Aralıq dənizi üslubunda qızardılmış balıq,Рыба на гриле по-средиземноморски,Akdeniz usulü ızgara balık,سمك مشوي على الطريقة المتوسطية,भूमध्यसागरीय शैली की ग्रिल्ड मछली,Poisson grillé à la méditerranéenne,Pesce alla griglia in stile mediterraneo,2025-05-08 14:33:57,2025-05-08 14:33:57
